"Product Name"," Product Code"," Expected"," Counted"
Mouse,63920719,133.5,
mango,72782608,1368,
Earphone,85415108,102,
"Baby doll",31261512,79,
lychee,38314290,171,
potato,212132,50,
iphone-X,97103461,29,
"Galaxy S9",72100265,14,
Shoe,90471412,14,
"Polo Shirt",53467102,14,
Toothpaste,859875003032,10,
tissue,8941161008066,16,
T-shirt,93475396,2,
T-shirt,93475396,4,
T-shirt,93475396,2,
"Test variant",81145830,2,
TV,32703342,8,
testvar,32081679,1,
Napa,41930312,19,
Napa,41930312,3,
Napa,41930312,2,
"Denim Jeans",19243053,5,
iphone-X,97103461,1,
